# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gSbeq
g6.xlarge, 0.00416667, 1.0, 8.499999999999999E-5
gr6.4xlarge, 0.019722238, 3.5, 2.8000000000000003E-4
gr6.8xlarge, 0.03888892000000001, 6.7, 5.4E-4
h1.16xlarge, 0.0972223, 21.0, 0.0025
h1.2xlarge, 0.012222232, 2.6, 3.1E-4
h1.4xlarge, 0.02500002, 5.2, 6.2E-4
h1.8xlarge, 0.05000004, 10.5, 0.00124
hpc7g.16xlarge, 0.07500006000000001, 12.0, 0.002
hpc7g.4xlarge, 0.028611134, 6.5, 7.0E-4
hpc7g.8xlarge, 0.04444448, 8.4, 0.00115
hs1.8xlarge, 0.04444448, 11.799999999999999, 0.00215
i2.2xlarge, 0.02222224, 6.8999999999999995, 0.00115
i2.2xlarge.elasticsearch, 0.02222224, 6.8999999999999995, 0.00115
i2.4xlarge, 0.04444448, 14.0, 0.0023
i2.8xlarge, 0.08888896, 28.0, 0.0046
i2.large, 0.00555556, 1.7, 2.9E-4
i2.xlarge, 0.01111112, 3.5, 5.700000000000001E-4
i2.xlarge.elasticsearch, 0.01111112, 3.5, 5.700000000000001E-4
i3.16xlarge, 0.12222232000000001, 37.0, 0.0033
i3.16xlarge.elasticsearch, 0.12222232000000001, 37.0, 0.0033
i3.2xlarge, 0.015277790000000001, 4.7, 4.1E-4
i3.2xlarge.elasticsearch, 0.015277790000000001, 4.7, 4.1E-4
i3.4xlarge, 0.030555580000000002, 9.0, 8.3E-4
i3.4xlarge.elasticsearch, 0.030555580000000002, 9.0, 8.3E-4
i3.8xlarge, 0.061111160000000005, 19.0, 0.0017000000000000001
i3.8xlarge.elasticsearch, 0.061111160000000005, 19.0, 0.0017000000000000001
i3en.12xlarge, 0.10555564, 41.0, 0.0025
i3en.24xlarge, 0.21388906000000002, 80.0, 0.0051
